,Unnamed: 0,id,bedroom,bathroom,building_area,land_area,price,latitude,longitude,log_price
802,5314,683631,4,3,120,75,995000000,-7.3361055,112.8113793,20.71825329612789
803,5321,432842,3,3,120,78,1500000000,-7.251953,112.7618913,21.12873094572124
804,5328,842792,3,2,120,135,1650000000,-7.261038,112.7915885,21.22404112546496
805,5332,599106,5,2,120,120,1200000000,-7.2824402,112.7107433,20.905587394573697
806,5333,84879,3,2,120,90,2350000000,-7.2664363,112.7951264,21.57768116552801
807,5344,718825,4,3,120,98,1000000000,-7.266413,112.6551524,20.72326583794641
808,5360,595897,3,3,120,70,1600000000,-7.2819743,112.767352,21.193269466817146
809,5364,984938,3,2,120,120,900000000,-7.3027881,112.7686722,20.617905322399697
810,5369,937575,3,2,120,108,1500000000,-7.2654386,112.7962958,21.12873094572124
811,5370,333751,3,3,120,160,1350000000,-7.2990494,112.7596627,21.02337043013749
812,5377,435533,1,1,120,140,1100000000,-7.2279305,112.7647122,20.818576017659826
813,5381,669195,1,1,120,120,1500000000,-7.2934522,112.7540206,21.12873094572124
814,5388,382877,3,2,120,150,1500000000,-7.31145,112.6680289,21.12873094572124
815,5433,515542,3,1,120,276,4500000000,-7.2560753,112.7512737,22.227343233944907
816,5446,554534,3,3,120,144,1097700000,-7.3227974,112.691532,20.81648291956854
817,5462,74244,3,2,120,72,1500000000,-7.3201726,112.7147986,21.12873094572124
818,5466,723561,2,2,120,91,1900000000,-7.2357998,112.7450343,21.365119723645122
819,5485,915274,4,3,120,96,890000000,-7.2626223,112.6649399,20.606732021814054
820,5486,645364,4,3,120,150,2950000000,-7.3293025,112.7248345,21.80507100763712
821,5490,825137,3,2,120,144,3700000000,-7.2904783,112.6605427,22.03159865686686
822,5507,901745,4,2,120,135,2500000000,-7.2747763,112.7897904,21.639556569220566
823,5519,975387,3,1,120,180,1525000000,-7.2596352,112.6580169,21.145260247661522
824,5527,799253,4,2,120,120,1400000000,-7.3362437,112.7793239,21.05973807428191
825,5551,153818,3,3,120,93,1200000000,-7.2714501,112.6638144,20.905587394573697
826,5575,599992,3,3,120,100,1350000000,-7.28715629999999,112.8110399,21.02337043013749
827,5597,111288,2,1,120,280,6000000000,-7.2890621,112.7315315,22.515025306341133
828,5598,87489,4,2,120,225,2200000000,-7.3095365,112.6770078,21.511723197765225
829,5602,840826,3,2,120,116,1250000000,-7.3146305,112.7155733,20.94640938906062
830,5603,612647,4,2,120,150,2500000000,-7.2922202,112.6542911,21.639556569220566
831,5606,389208,4,2,120,120,2250000000,-7.2797793,112.6439255,21.534196053607182
832,5607,866012,3,2,120,124,980000000,-7.2753268,112.7024393,20.703063130649298
833,5622,427277,3,3,120,75,1400000000,-7.330774,112.766519,21.05973807428191
834,5634,648379,3,3,120,87,1750000000,-7.30904809999999,112.7343927,21.28288162545326
835,5652,578252,3,2,120,84,1350000000,-7.2976689,112.7393516,21.02337043013749
836,5679,666744,5,2,120,120,1200000000,-7.2823694,112.7115865,20.905587394573697
837,5681,253527,3,3,120,100,1800000000,-7.2403165,112.7822284,21.311052502404085
838,5708,988116,3,2,120,105,1050000000,-7.3152,112.7053816,20.772056002068222
839,5748,572574,3,3,120,70,1600000000,-7.2861637,112.7683544,21.193269466817146
840,5765,247883,3,3,120,75,1300000000,-7.319574,112.7867386,20.985630102183134
841,5902,642279,3,2,120,160,1600000000,-7.2534592,112.7769099,21.193269466817146
842,5936,179562,3,3,120,200,3000000000,-7.3147415,112.7805269,21.821878125947855
843,5941,324700,2,2,120,308,3000000000,-7.2385773,112.7601966,21.821878125947855
844,5955,636056,3,3,120,100,1800000000,-7.2399684,112.7825919,21.311052502404085
845,5966,437162,3,3,120,75,1775000000,-7.2964985,112.775557,21.29706626043717
846,6047,283864,3,1,120,120,1100000000,-7.2620661,112.7268026,20.818576017659826
847,6048,61327,3,1,120,120,1150000000,-7.255948,112.7487669,20.863027780191135
848,6050,593982,3,1,120,120,1200000000,-7.272379,112.758414,20.905587394573697
849,6075,340499,4,3,120,144,3300000000,-7.301945,112.737636,21.917188305721876
850,6094,141027,5,2,120,217,4000000000,-7.3397407,112.7226611,22.109560198316302
851,6108,455672,4,2,120,142,1600000000,-7.331874,112.7960602,21.193269466817146
